internal_accession	sample_name	gb_accession	date_added	seq_accession
	gi|2326815026|gb|OL688716.1| Coxsackievirus A6 strain AS230/NC/CHN/2017 VP1 gene, partial cds	OL688716	2024-08-07	OL688716
	gi|2326815028|gb|OL688717.1| Coxsackievirus A6 strain AS256/NC/CHN/2017 VP1 gene, partial cds	OL688717	2024-08-07	OL688717
	gi|2326815030|gb|OL688718.1| Coxsackievirus A6 strain AS372/NC/CHN/2017 VP1 gene, partial cds	OL688718	2024-08-07	OL688718
	gi|2326815032|gb|OL688719.1| Coxsackievirus A6 strain AS386c/NC/CHN/2017 VP1 gene, partial cds	OL688719	2024-08-07	OL688719
	gi|2326815034|gb|OL688720.1| Coxsackievirus A6 strain AS404/NC/CHN/2017 VP1 gene, partial cds	OL688720	2024-08-07	OL688720
	gi|2326815036|gb|OL688721.1| Coxsackievirus A6 strain AS405/NC/CHN/2017 VP1 gene, partial cds	OL688721	2024-08-07	OL688721
	gi|2326815038|gb|OL688722.1| Coxsackievirus A6 strain AS431c/NC/CHN/2017 VP1 gene, partial cds	OL688722	2024-08-07	OL688722
	gi|2326815040|gb|OL688723.1| Coxsackievirus A6 strain AS454/NC/CHN/2017 VP1 gene, partial cds	OL688723	2024-08-07	OL688723
	gi|2326815042|gb|OL688724.1| Coxsackievirus A6 strain AS472/NC/CHN/2017 VP1 gene, partial cds	OL688724	2024-08-07	OL688724
	gi|2326815044|gb|OL688725.1| Coxsackievirus A6 strain AS492/NC/CHN/2017 VP1 gene, partial cds	OL688725	2024-08-07	OL688725
	gi|2326815046|gb|OL688726.1| Coxsackievirus A6 strain AS589/NC/CHN/2017 VP1 gene, partial cds	OL688726	2024-08-07	OL688726
	gi|2326815048|gb|OL688727.1| Coxsackievirus A6 strain AS672/NC/CHN/2017 VP1 gene, partial cds	OL688727	2024-08-07	OL688727
	gi|2326815050|gb|OL688728.1| Coxsackievirus A6 strain AS673/NC/CHN/2017 VP1 gene, partial cds	OL688728	2024-08-07	OL688728
	gi|2326815052|gb|OL688729.1| Coxsackievirus A6 strain AS010/NC/CHN/2018 VP1 gene, partial cds	OL688729	2024-08-07	OL688729
	gi|2326815054|gb|OL688730.1| Coxsackievirus A6 strain AS013/NC/CHN/2018 VP1 gene, partial cds	OL688730	2024-08-07	OL688730
	gi|2326815056|gb|OL688731.1| Coxsackievirus A6 strain AS035/NC/CHN/2018 VP1 gene, partial cds	OL688731	2024-08-07	OL688731
	gi|2326815058|gb|OL688732.1| Coxsackievirus A6 strain AS050/NC/CHN/2018 VP1 gene, partial cds	OL688732	2024-08-07	OL688732
	gi|2326815060|gb|OL688733.1| Coxsackievirus A6 strain AS055/NC/CHN/2018 VP1 gene, partial cds	OL688733	2024-08-07	OL688733
	gi|2326815062|gb|OL688734.1| Coxsackievirus A6 strain AS074/NC/CHN/2018 VP1 gene, partial cds	OL688734	2024-08-07	OL688734
	gi|2326815064|gb|OL688735.1| Coxsackievirus A6 strain AS075/NC/CHN/2018 VP1 gene, partial cds	OL688735	2024-08-07	OL688735
	gi|2326815066|gb|OL688736.1| Coxsackievirus A6 strain AS078/NC/CHN/2018 VP1 gene, partial cds	OL688736	2024-08-07	OL688736
	gi|2326815068|gb|OL688737.1| Coxsackievirus A6 strain AS421/NC/CHN/2018 VP1 gene, partial cds	OL688737	2024-08-07	OL688737
	gi|2326815070|gb|OL688738.1| Coxsackievirus A6 strain AS456/NC/CHN/2018 VP1 gene, partial cds	OL688738	2024-08-07	OL688738
	gi|2326815072|gb|OL688739.1| Coxsackievirus A6 strain AS463/NC/CHN/2018 VP1 gene, partial cds	OL688739	2024-08-07	OL688739
	gi|2326815074|gb|OL688740.1| Coxsackievirus A6 strain AS572/NC/CHN/2018 VP1 gene, partial cds	OL688740	2024-08-07	OL688740
	gi|2326815076|gb|OL688741.1| Coxsackievirus A6 strain AS595/NC/CHN/2018 VP1 gene, partial cds	OL688741	2024-08-07	OL688741
	gi|2326815078|gb|OL688742.1| Coxsackievirus A6 strain AS614/NC/CHN/2018 VP1 gene, partial cds	OL688742	2024-08-07	OL688742
	gi|2326815080|gb|OL688743.1| Coxsackievirus A6 strain AS624/NC/CHN/2018 VP1 gene, partial cds	OL688743	2024-08-07	OL688743
	gi|2326815082|gb|OL688744.1| Coxsackievirus A6 strain AS012/NC/CHN/2019 VP1 gene, partial cds	OL688744	2024-08-07	OL688744
	gi|2326815084|gb|OL688745.1| Coxsackievirus A6 strain AS051/NC/CHN/2019 VP1 gene, partial cds	OL688745	2024-08-07	OL688745
	gi|2326815086|gb|OL688746.1| Coxsackievirus A6 strain AS071/NC/CHN/2019 VP1 gene, partial cds	OL688746	2024-08-07	OL688746
	gi|2326815088|gb|OL688747.1| Coxsackievirus A6 strain AS072/NC/CHN/2019 VP1 gene, partial cds	OL688747	2024-08-07	OL688747
	gi|2326815090|gb|OL688748.1| Coxsackievirus A6 strain AS170/NC/CHN/2019 VP1 gene, partial cds	OL688748	2024-08-07	OL688748
	gi|2326815092|gb|OL688749.1| Coxsackievirus A6 strain AS191/NC/CHN/2019 VP1 gene, partial cds	OL688749	2024-08-07	OL688749
	gi|2326815094|gb|OL688750.1| Coxsackievirus A6 strain AS199/NC/CHN/2019 VP1 gene, partial cds	OL688750	2024-08-07	OL688750
